Poll_Source,Date,Democrat_s_,Republican_s_,Hypothetical_Race,Winner
Newsweek_Poll_,"Jan_24-25,_2007_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Democrat
Newsweek_Poll_,"Jan_24-25,_2007_",Barack_Obama_,John_McCain_,Barack_Obama_vs._John_McCain_,Democrat
Newsweek_Poll_,"Jan_24-25,_2007_",John_Edwards_,John_McCain_,John_Edwards_vs._John_McCain_,Democrat
Newsweek_Poll_,"Jan_24-25,_2007_",Hillary_Clinton_,Rudy_Giuliani_,Hillary_Clinton_vs._Rudy_Giuliani_,Democrat
Newsweek_Poll_,"Jan_24-25,_2007_",Barack_Obama_,Rudy_Giuliani_,Barack_Obama_vs._Rudy_Giuliani_,Democrat
Newsweek_Poll_,"Jan_24-25,_2007_",John_Edwards_,Rudy_Giuliani_,John_Edwards_vs._Rudy_Giuliani_,Republican
Newsweek_Poll_,"Jan_24-25,_2007_",Hillary_Clinton_,Mitt_Romney_,Hillary_Clinton_vs._Mitt_Romney_,Democrat
Newsweek_Poll_,"Jan_24-25,_2007_",Barack_Obama_,Mitt_Romney_,Barack_Obama_vs._Mitt_Romney_,Democrat
Newsweek_Poll_,"Jan_24-25,_2007_",John_Edwards_,Mitt_Romney_,John_Edwards_vs._Mitt_Romney_,Democrat
Rasmussen_Reports_Poll_,"Jan_22-23,_2007_",Bill_Richardson_,Rudy_Giuliani_,Bill_Richardson_vs._Rudy_Giuliani_,Republican
Rasmussen_Reports_Poll_,"Jan_22-23,_2007_",Bill_Richardson_,John_McCain_,Bill_Richardson_vs._John_McCain_,Republican
Time_Poll_,"Jan_22-23,_2007_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
Time_Poll_,"Jan_22-23,_2007_",Barack_Obama_,John_McCain_,Barack_Obama_vs._John_McCain_,Republican
Time_Poll_,"Jan_22-23,_2007_",John_Edwards_,John_McCain_,John_Edwards_vs._John_McCain_,Republican
Cook_Political_Report/RT_Strategies_Poll_,"Jan_18-21,_2007_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Republican
ABC_News/Washington_Post_Poll_,"Jan_16-19,_2007_",Hillary_Clinton_,John_McCain_,Hillary_Clinton_vs._John_McCain_,Democrat
ABC_News/Washington_Post_Poll_,"Jan_16-19,_2007_",Barack_Obama_,John_McCain_,Barack_Obama_vs._John_McCain_,Democrat
ABC_News/Washington_Post_Poll_,"Jan_16-19,_2007_",Barack_Obama_,Rudy_Giuliani_,Barack_Obama_vs._Rudy_Giuliani_,Republican
ABC_News/Washington_Post_Poll_,"Jan_16-19,_2007_",Hillary_Clinton_,Rudy_Giuliani_,Hillary_Clinton_vs._Rudy_Giuliani_,Democrat
Rasmussen_Reports_Poll_,"Jan_17-18,_2007_",Barack_Obama_,John_McCain_,Barack_Obama_vs._John_McCain_,Democrat
Rasmussen_Reports_Poll_,"Jan_17-18,_2007_",John_Edwards_,John_McCain_,John_Edwards_vs._John_McCain_,Democrat
